Include,Category,Title,Tags,URL,Source,Volume
Y,BINAURAL BEATS,Alpha (12 Hz) - Focus,"alpha, binaural, focus, headphones",https://archive.org/download/RestorativeSleepMusicBinauralBeatsSleepInTheClouds432Hz/Pure%20Alpha%20Waves%20Binaural%20Beats%20%2812%20Hz%29%20%201H.mp3,RestorativeSleepMusicBinauralBeatsSleepInTheClouds432Hz,
Y,BINAURAL BEATS,Theta (4 Hz) - Meditation,"theta, binaural, meditation, headphones",https://archive.org/download/RestorativeSleepMusicBinauralBeatsSleepInTheClouds432Hz/Pure%20Theta%20Waves%20%284%20Hz%29%20%20Deep%20Meditation%20-%201hr%20Binaural%20Beats.mp3,RestorativeSleepMusicBinauralBeatsSleepInTheClouds432Hz,
Y,BINAURAL BEATS,Delta (0.5 Hz) - Deep Sleep,"delta, binaural, sleep, headphones",https://archive.org/download/RestorativeSleepMusicBinauralBeatsSleepInTheClouds432Hz/Pure%20Delta%20Waves%20%280.5%20Hz%20Binaural%20Beats%29%20%201H.mp3,RestorativeSleepMusicBinauralBeatsSleepInTheClouds432Hz,
Y,BINAURAL BEATS,Gamma (40 Hz) - Peak Focus,"gamma, binaural, focus, headphones",https://archive.org/download/study-music-alpha-waves-studying-music-concentration-music-focus-music-for-work-brain-power/Gamma%20Brain%20Waves%20Meditation%2040%20Hz%20frequency%201%20Hr%20Producing%20Focus%20Calmness%20Happiness.mp3,study-music-alpha-waves-studying-music-concentration-music-focus-music-for-work-brain-power,
Y,BINAURAL BEATS,Anxiety Relief,"anxiety, binaural, stress, headphones",https://archive.org/download/study-music-alpha-waves-studying-music-concentration-music-focus-music-for-work-brain-power/Anxiety%20Relief%20%20Release%20Stress%20Worry%20Overthinking%20%20Binaural%20Beats%20%20Meditation%20Music.mp3,study-music-alpha-waves-studying-music-concentration-music-focus-music-for-work-brain-power,
Y,BINAURAL BEATS,Stay Awake - Isochronic,"isochronic, awake, alert",https://archive.org/download/study-music-alpha-waves-studying-music-concentration-music-focus-music-for-work-brain-power/Staying%20Awake%20%20Isochronic%20Tones%20%20Brainwave%20Entrainment%20Meditation.mp3,study-music-alpha-waves-studying-music-concentration-music-focus-music-for-work-brain-power,
Y,BINAURAL BEATS,Beta (30 Hz) - Alertness,"beta, binaural, alertness, headphones",https://archive.org/download/study-music-alpha-waves-studying-music-concentration-music-focus-music-for-work-brain-power/30%20Hz%20Pure%20BINAURAL%20Beat%20%20BETA%20Waves%2070Hz%20Base%20Frequency%20%20Ondas%20Beta%20100.mp3,study-music-alpha-waves-studying-music-concentration-music-focus-music-for-work-brain-power,
Y,BINAURAL BEATS,Deep Alpha - Quick,"alpha, binaural, meditation, headphones",https://archive.org/download/study-music-alpha-waves-studying-music-concentration-music-focus-music-for-work-brain-power/Deep%20Alpha%20Binaural%20Beats%2015%20min%20Meditation.mp3,study-music-alpha-waves-studying-music-concentration-music-focus-music-for-work-brain-power,
Y,BINAURAL BEATS,Theta + 432 Hz - DMT,"theta, binaural, 432hz, headphones",https://archive.org/download/study-music-alpha-waves-studying-music-concentration-music-focus-music-for-work-brain-power/Theta%20Brainwaves%20%20432hz%20%208hz%20%2060hz%20%20%20Pineal%20Gland%20DMT%20Music.mp3,study-music-alpha-waves-studying-music-concentration-music-focus-music-for-work-brain-power,
Y,BINAURAL BEATS,Isochronic: Jupiter frequency + Schumann,"isochronic, focus, relaxation",https://archive.org/download/Binaural-Isochronic02/Isochronic%20Tone%20-%20Frequency%20Of%20Jupiter%20-%20183.58HZ%20with%207.83HZ.mp3,Binaural-Isochronic02,
Y,BINAURAL BEATS,Isochronic: Mars frequency + Schumann,"isochronic, focus, relaxation",https://archive.org/download/Binaural-Isochronic02/Isochronic%20Tone%20-%20Frequency%20Of%20Mars%20-%20144.72HZ%20with%207.83HZ.mp3,Binaural-Isochronic02,
Y,BINAURAL BEATS,Isochronic: Mercury frequency + Schumann,"isochronic, focus, relaxation",https://archive.org/download/Binaural-Isochronic02/Isochronic%20Tone%20-%20Frequency%20Of%20Mercury%20-%20141.27HZ%20with%207.83HZ.mp3,Binaural-Isochronic02,
Y,BINAURAL BEATS,Isochronic: New Schumann resonance 16.5Hz,"isochronic, focus, relaxation",https://archive.org/download/Binaural-Isochronic02/Isochronic%20Tone%20-%20New%20Schumann%20Resonance%20-%2016.5HZ.mp3,Binaural-Isochronic02,
Y,BINAURAL BEATS,Isochronic: Organ/Brain + Schumann,"isochronic, focus, relaxation",https://archive.org/download/Binaural-Isochronic02/Isochronic%20Tone%20-%20Organ%20-%20Brain%20-%20315.8HZ%20with%207.83HZ.mp3,Binaural-Isochronic02,
Y,BINAURAL BEATS,"Theta Binaural Beat 7Hz (1h 30m, Pure Tone)","theta, binaural, sleep, meditation",https://archive.org/download/1hr-30-min-theta-binaural-beat-7-hz-pure-tone/1hr%2030%20min%20Theta%20Binaural%20Beat%20%287Hz%29%20-%20Pure%20Tone.mp3,1hr-30-min-theta-binaural-beat-7-hz-pure-tone,
Y,BINAURAL BEATS,Theta Waves Reality Shifting / Quantum Jumping ,"theta, binaural, meditation",https://archive.org/download/1hr-30-min-theta-binaural-beat-7-hz-pure-tone/theta-waves-reality-shifting-quantum-jumping-music-subliminal-audio-2-hrs.mp3,1hr-30-min-theta-binaural-beat-7-hz-pure-tone,
Y,BINAURAL BEATS,5 Hz Theta Wave Binaural Beats (Stress Relief / Creativity),"theta, binaural, focus, sleep",https://archive.org/download/1hr-30-min-theta-binaural-beat-7-hz-pure-tone/5%20Hz%20Theta%20Wave%20Binaural%20Beats%2C%20Stress%20Relief%2C%20Lucid%20Dreaming%2C%20Better%20sleep%20and%20Improved%20Creativity..mp3,1hr-30-min-theta-binaural-beat-7-hz-pure-tone,
Y,BINAURAL BEATS,40 Hz Gamma Pure Tone,"gamma, focus, energy",https://archive.org/download/40-hz-gamma-pure-tone-binaural-beat-brains-operating-system/40%20Hz%20Gamma%20-%20Pure%20Tone%20Binaural%20Beat%20-%20Brain%27s%20Operating%20System.mp3,40-hz-gamma-pure-tone-binaural-beat-brains-operating-system,
Y,BINAURAL BEATS,Accelerated Learning (Gamma Waves for Focus/Memory),"gamma, focus, ADHD",https://archive.org/download/40-hz-gamma-pure-tone-binaural-beat-brains-operating-system/Accelerated%20Learning%20-%20Gamma%20Waves%20for%20Focus%2C%20Memory%2C%20Concentration%20-%20Binaural%20B.mp3,40-hz-gamma-pure-tone-binaural-beat-brains-operating-system,
Y,CORE COLORS,White Noise,"white noise, focus, sleep, masking",https://archive.org/download/24-hours-lectrofan-sound-and-white-noise-river-128/1%20hour%20lectrofan%20sound%20and%20white%20noise%20river%20128.mp3,24-hours-lectrofan-sound-and-white-noise-river-128,
Y,CORE COLORS,Pink Noise,"focus, sleep, rainfall",https://archive.org/download/classical-music-mixed-with-pink-noise-for-sleep-and-relax_202105/Soothing%20Deep%20Pink%20Noise%20%201%20Hour.mp3,classical-music-mixed-with-pink-noise-for-sleep-and-relax_202105,
Y,CORE COLORS,Brown Noise,"brown noise, sleep, focus, deep",https://archive.org/download/1-hour-brown-noise-and-flowing-water-320/1%20hour%20Brown%20Noise%20and%20Flowing%20River%20flac.mp3,1-hour-brown-noise-and-flowing-water-320,
Y,CORE COLORS,Blue Noise,"blue noise, high frequency, masking",https://archive.org/download/1-hour-texas-river-rapids-and-deep-blue-noise-320/1%20hour%20texas%20river%20rapids%20and%20deep%20blue%20noise%20320.mp3,1-hour-texas-river-rapids-and-deep-blue-noise-320,
Y,CORE COLORS,Green Noise,"nature, stress relief",https://archive.org/download/green-noise/Green%20Noise.mp3,green-noise,
Y,CORE COLORS,Red Noise (Deep Brown),"deep, relaxing",https://archive.org/download/red-noise_202207/red%20noise.mp3,red-noise_202207,
Y,CORE COLORS,Pink Noise,"pink noise, focus, sleep",https://archive.org/download/hour-of-pink-noise/01-pink_noise.mp3,hour-of-pink-noise,
Y,CORE COLORS,Super Deep Brown Noise,"brown noise, sleep, focus",https://archive.org/download/brownnoise_202103/Super%20Deep%20Brown%20Noise%20%281%20Hour%29.mp3,brownnoise_202103,
Y,CORE COLORS,Brown Noise 2 Hours (Smooth),"brown noise, relaxation, focus",https://archive.org/download/brownnoise_202103/Brown%20Noise%202%20Hours%2C%20for%20Relaxation%2C%20Sleep%2C%20Studying%20and%20Tinnitus%20Smooth.mp3,brownnoise_202103,
Y,CORE COLORS,Smoothed Brown Noise,"brown noise, sleep, focus",https://archive.org/download/brownnoise_202103/Smoothed%20Brown%20Noise%208-Hours%20-%20Remastered%2C%20for%20Relaxation%2C%20Sleep%2C%20Studying%20and%20Tinnitus%20%E2%98%AF108.mp3,brownnoise_202103,
Y,CORE COLORS,Brown Noise (Noise Blocker),"brown noise, sleep, study",https://archive.org/download/brownnoise_202103/10%20HOURS%20BROWN%20NOISE%20Noise%20Blocker%20for%20Sleep%2C%20Study%2C%20Tinnitus%20%2C%20insomnia.mp3,brownnoise_202103,
Y,MECHANICAL / SCI-FI,Box Fan,"fan, mechanical, sleep",https://archive.org/download/relaxingsounds/FAN%201%2010h%20Strong%20Box%20Fan.mp3,relaxingsounds,
Y,MECHANICAL / SCI-FI,Oscillating Fan,"fan, mechanical, gentle",https://archive.org/download/relaxingsounds/FAN%202%2010h%20Gentle%2COscillating%20Fan.mp3,relaxingsounds,
Y,MECHANICAL / SCI-FI,Stereo Fan,"fan, mechanical, stereo, panning",https://archive.org/download/relaxingsounds/FAN%203%209h%20OscillatingStereoFan.mp3,relaxingsounds,
Y,MECHANICAL / SCI-FI,Train (with Horns),"train, mechanical, horns",https://archive.org/download/relaxingsounds/Train%201%2010h%20LowRumble%2BHorn%2CCrossingBells.mp3,relaxingsounds,
Y,MECHANICAL / SCI-FI,Train,"train, mechanical, quiet",https://archive.org/download/relaxingsounds/Train%203%209h%20Med.LiteRumble-NoHornsOrBells.mp3,relaxingsounds,
Y,MECHANICAL / SCI-FI,Film Projector,"projector, mechanical, vintage",https://archive.org/download/relaxingsounds/Film%20Projector%209h%20gentle%20v2.mp3,relaxingsounds,
Y,MECHANICAL / SCI-FI,Starship Engine,"starship, sci-fi, space, engine",https://archive.org/download/AmbientEngineNoiseidlingFor24Hrs_614/AmbientEngineNoiseidlingFor24Hrs.mp3,AmbientEngineNoiseidlingFor24Hrs_614,
Y,MECHANICAL / SCI-FI,Industrial Fan Sounds ,"fan, mechanical, sleep, focus",https://archive.org/download/industrial-fan-sounds-3-hour-fan-nap-to-barrel-fan-noise/INDUSTRIAL%20FAN%20SOUNDS%203%20Hour%20FAN%20NAP%20to%20Barrel%20Fan%20Noise.mp3,industrial-fan-sounds-3-hour-fan-nap-to-barrel-fan-noise,
Y,MECHANICAL / SCI-FI,Red Noise ,"red noise, mechanical, sleep",https://archive.org/download/industrial-fan-sounds-3-hour-fan-nap-to-barrel-fan-noise/red%20noise.mp3,industrial-fan-sounds-3-hour-fan-nap-to-barrel-fan-noise,
Y,NATURE + NOISE BLENDS,Blue + Waterfall,"blue noise, waterfall, blend",https://archive.org/download/clip-waterfall-relaxing-sleep-rem-asmr/1%20hour%20waterfall%20relaxing%20sleep%20blue%20noise%20rem%20asmr%20320.mp3,clip-waterfall-relaxing-sleep-rem-asmr,
Y,NATURE + NOISE BLENDS,Red + Waterfall,"red noise, waterfall, blend",https://archive.org/download/clip-waterfall-relaxing-sleep-rem-asmr/1%20hour%20waterfall%20relaxing%20rem%20red%20noise%20sleep%20320.mp3,clip-waterfall-relaxing-sleep-rem-asmr,
Y,NATURE + NOISE BLENDS,Brown + River,"brown noise, river, blend",https://archive.org/download/24-hours-peaceful-river-and-brown-noise-vbr/1%20hour%20v3%20river%20and%20brown%20noise%20vbr.mp3,24-hours-peaceful-river-and-brown-noise-vbr,
Y,NATURE + NOISE BLENDS,Brown + Rain,"brown noise, rain, blend",https://archive.org/download/red-noise_202207/1-rain%20and%20brown%20noise%20-%20320%20-%201%20hour.mp3,red-noise_202207,
Y,NATURE + NOISE BLENDS,Brown + Mountain Stream,"brown noise, stream, rain, blend",https://archive.org/download/1-hour-mountain-stream-doubled-and-brown-noise-flac/1%20hour%20mountain%20stream%20-%20rain%20shower%20-%20brown%20noise%20v2%20320.mp3,1-hour-mountain-stream-doubled-and-brown-noise-flac,
Y,NATURE + NOISE BLENDS,White + Roaring Waterfall,"white noise, waterfall, powerful",https://archive.org/download/1-fan-4-1-hour-flac/Roaring%20Waterfall%20White%20Noise%2010%20hours.mp3,1-fan-4-1-hour-flac,
Y,NATURE + NOISE BLENDS,Brown + Terraced Waterfall,"brown noise, waterfall, cascading",https://archive.org/download/1-fan-4-1-hour-flac/10%20hours%20terraced%20waterfall%20brown%20noise%20sound%20128.mp3,1-fan-4-1-hour-flac,
Y,NATURE + NOISE BLENDS,Pink + Nature,"pink noise, focus, reading, concentration",https://archive.org/download/classical-music-mixed-with-pink-noise-for-sleep-and-relax_202105/Pink%20Noise%20Focus%20on%20Reading%20Without%20DistractionsRuido%20RosaLeer%20Sin%20Distracciones.mp3,classical-music-mixed-with-pink-noise-for-sleep-and-relax_202105,
Y,NATURE + NOISE BLENDS,Green + Stream,"green noise, stream, nature",https://archive.org/download/10-hours-white-noise-river-mountain-stream-doubled-320/1%20Hour%20Calming%20Mountain%20Stream.mp3,10-hours-white-noise-river-mountain-stream-doubled-320,
Y,NATURE + NOISE BLENDS,Alpha + Brown Noise,"alpha waves, brown noise, blend",https://archive.org/download/10-hours-alpha-river-and-brown-noise-flac/1%20hour%20alpha%20river%20and%20brown%20noise%20v1%20flac.mp3,10-hours-alpha-river-and-brown-noise-flac,
Y,NATURE + NOISE BLENDS,Turquoise Mountain Stream,"turquoise, stream, calming",https://archive.org/download/10-hours-alpha-river-and-brown-noise-flac/10%20hours%20Calming%20Turquoise%20Water%2C%20Mountain%20Stream%20vbr.mp3,10-hours-alpha-river-and-brown-noise-flac,
Y,NATURE + NOISE BLENDS,Hot Tub / Jacuzzi,"hot tub, jacuzzi, bubbling",https://archive.org/download/10-hours-alpha-river-and-brown-noise-flac/1%20hour%20smooth%20hot%20tub%20128.mp3,10-hours-alpha-river-and-brown-noise-flac,
Y,NATURE + NOISE BLENDS,Brown Noise + Smooth Water Sounds,"brown noise, water, blend",https://archive.org/download/7.superdeepstretchedbrownnoise1/1.Brown%20Noise%20and%20Smooth%20Water%20Sounds-1.mp3,7.superdeepstretchedbrownnoise1,
Y,NATURE + NOISE BLENDS,Fireplace + River,"fireplace, river, relaxation, sleep",https://archive.org/download/1-hour-fireplace-crackling-fire-river-sound-flac/1%20hour%20fireplace%20crackling%20fire%20river%20sound%20320.mp3,1-hour-fireplace-crackling-fire-river-sound-flac,
Y,NATURE + NOISE BLENDS,Fireplace + River ,"fireplace, river, relaxation, sleep",https://archive.org/download/1-hour-fireplace-crackling-fire-river-sound-flac/1%20hour%20fireplace%20crackling%20fire%20river%20sound%20flac.mp3,1-hour-fireplace-crackling-fire-river-sound-flac,
Y,NATURE + NOISE BLENDS,Fireplace + River,"fireplace, river, relaxation, sleep",https://archive.org/download/1-hour-fireplace-crackling-fire-river-sound-flac/1%20hour%20v2%20fireplace%20crackling%20fire%20river%20sound%20320.mp3,1-hour-fireplace-crackling-fire-river-sound-flac,
Y,NATURE + NOISE BLENDS,Winter Camp Fire / Fireplace Red Noise (1 hour),"red noise, fireplace, sleep",https://archive.org/download/1-hour-fireplace-crackling-fire-river-sound-flac/1%20hour%20winter%20camp%20fire%20fireplace%20red%20noise%20320.mp3,1-hour-fireplace-crackling-fire-river-sound-flac,
Y,NATURE + NOISE BLENDS,Fireplace + River v2,"fireplace, river, long, sleep",https://archive.org/download/1-hour-fireplace-crackling-fire-river-sound-flac/10%20hours%20v2%20fireplace%20crackling%20fire%20river%20sound%20flac.mp3,1-hour-fireplace-crackling-fire-river-sound-flac,
Y,NATURE + NOISE BLENDS,Fireplace + River v2,"fireplace, river, long, sleep",https://archive.org/download/1-hour-fireplace-crackling-fire-river-sound-flac/10%20hours%20v2%20fireplace%20crackling%20fire%20river%20sound%20vbr.mp3,1-hour-fireplace-crackling-fire-river-sound-flac,
Y,NATURE SOUNDS,Thunder + Rain + Beach,"thunder, rain, beach, waves",https://archive.org/download/relaxingsounds/Thunder%201%208h%20VeryLowRumbling%2CRain%2CWaves-Beach.mp3,relaxingsounds,
Y,NATURE SOUNDS,Ocean Waves,"ocean, waves, beach, night",https://archive.org/download/relaxingsounds/Waves%201%2010h%20Beach-Sunset%20into%20Night.mp3,relaxingsounds,
Y,NATURE SOUNDS,Rain - Medium,"rain, thunder, gentle",https://archive.org/download/relaxingsounds/Rain%202%20%28Med.%2B%29%2010h%20LowGentleThunder%2C%20Downpour.mp3,relaxingsounds,
Y,NATURE SOUNDS,Campfire + Crickets,"campfire, crickets, fire, night",https://archive.org/download/relaxingsounds/FIRE%201%2010h%20CracklingCampfire%2CCrickets%2CRainOrRiver-Night.mp3,relaxingsounds,
Y,NATURE SOUNDS,Rain on Tent Canvas,"rain, tent, camping, gentle",https://archive.org/download/relaxingsounds/Rain%206%20%28Light%29%2010h%20on%20Tent%20Canvas%2C%28MediumGentle%29-no%20thunder.mp3,relaxingsounds,
Y,NATURE SOUNDS,Rainforest,"rainforest, river, birds, nature",https://archive.org/download/relaxingsounds/Rainforest%205h%20Bubbling%20River%20Falls(gentle)%2CBirds%2CInsects%2CAnimals-Daytime%2CSouth%20America.mp3,relaxingsounds,
Y,NATURE SOUNDS,Athabasca Falls ,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HRS%20Calming%20Sounds%20of%20Athabasca%20Falls%2C%20Canada%20for%20Concentration%2C%20Work%20and%20Study.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Waterfall for Concentration,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HRS%20Relaxing%20Sounds%20of%20a%20Waterfall%20for%20Concentration%20and%20Work.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Forest Stream + Birds,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HOURS%20Calming%20Sounds%20of%20a%20Forest%20Stream%20and%20Bird%20Songs.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Ocean Waves for Sleep,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HOURS%20Ocean%20Waves%20Sounds%20for%20Sleep%20Better.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Waterfall Peaceful,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HOURS%20of%20Waterfall%20Peaceful%20Sounds.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Mountain River White Noise + Birds ,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HOURS%20of%20Mountain%20River%20White%20Noise%20and%20Bird%20Songs%20for%20Stress%20Relief.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Tropical Forest Stream + Birds,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HOURS%20of%20Tropical%20Forest%20Stream%20%26%20Gentle%20Birds%20Singing.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Tropical Rainforest Rain + Birds,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20K%20Tropical%20Rainforest%20-%208%20HOURS%20of%20Relaxing%20Rain%20Sounds%20and%20Tropical%20Birds%20Chirping.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Wind White Noise + Lake,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HRS%20White%20Noise%20of%20Wind%20and%20Gentle%20Lake%20Sound%20for%20Relaxation.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Soothing River for Work,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20Hours%20Soothing%20River%20Sounds%20for%20Concentration%20and%20Work.mp3,8-hours-of-waterfall-peaceful-sounds,